agent_name,inventory,backlog,placed_order,weekly_cost
Distributor,100,0,0,100
Wholesaler,100,0,0,350
Retailer,100,0,50,75
Distributor,100,0,0,600
Wholesaler,100,50,100,435
Retailer,75,0,77,49
Distributor,100,100,200,750
Wholesaler,50,77,150,400
Retailer,49,0,53,73
Distributor,0,150,100,1550
Wholesaler,0,80,160,235
Retailer,73,0,43,90
Distributor,0,310,200,1650
Wholesaler,20,43,120,115
Retailer,90,0,0,152
Distributor,0,330,200,1380
Wholesaler,0,23,46,77
Retailer,152,0,0,146
Distributor,0,276,200,880
Wholesaler,77,0,0,177
Retailer,146,0,0,136
Distributor,0,176,200,380
Wholesaler,177,0,0,287
Retailer,136,0,2,117
Distributor,0,76,152,24
Wholesaler,277,2,0,620
Retailer,117,0,49,84
Distributor,24,0,0,124
Wholesaler,375,49,0,682
Retailer,84,0,56,65
Distributor,124,0,0,224
Wholesaler,402,56,0,566
Retailer,65,0,44,85
Distributor,224,0,0,324
Wholesaler,346,44,0,317
Retailer,85,0,3,119
Distributor,324,0,0,424
Wholesaler,302,3,0,334
Retailer,119,0,7,128
Distributor,424,0,0,524
Wholesaler,299,7,0,437
Retailer,128,0,29,101
Distributor,524,0,0,624
Wholesaler,292,29,0,423
Retailer,101,0,32,88
Distributor,624,0,0,724
Wholesaler,263,32,0,376
Retailer,88,0,29,94
Distributor,724,0,0,776
Wholesaler,231,29,0,322
Retailer,94,0,24,101
Distributor,776,0,0,776
Wholesaler,202,24,0,298
Retailer,101,0,24,103
Distributor,776,0,0,776
Wholesaler,178,24,0,259
Retailer,103,0,21,103
Distributor,776,0,0,776
Wholesaler,154,21,0,298
Retailer,103,0,33,97
Distributor,776,0,0,941
Wholesaler,133,33,33,160
Retailer,97,0,12,103
Distributor,776,33,0,863
Wholesaler,100,12,24,108
Retailer,103,0,4,116
Distributor,743,24,0,719
Wholesaler,88,4,0,327
Retailer,116,0,42,93
Distributor,719,0,0,934
Wholesaler,117,42,43,394
Retailer,93,0,59,69
Distributor,719,43,0,1271
Wholesaler,99,59,119,155
Retailer,69,0,23,94
Distributor,676,119,0,872
Wholesaler,40,23,63,85
Retailer,94,0,5,124
Distributor,557,63,0,494
Wholesaler,60,5,0,174
Retailer,124,0,0,128
Distributor,494,0,0,494
Wholesaler,174,0,0,262
Retailer,128,0,5,114
Distributor,494,0,0,494
Wholesaler,237,5,0,412
Retailer,114,0,36,89
Distributor,494,0,0,494
Wholesaler,232,36,0,496
Retailer,89,0,60,67
Distributor,494,0,0,614
Wholesaler,196,60,24,351
Retailer,67,0,43,80
Distributor,494,24,0,720
Wholesaler,136,43,50,133
Retailer,80,0,8,116
Distributor,470,50,0,420
Wholesaler,93,8,0,144
Retailer,116,0,7,126
Distributor,420,0,0,420
Wholesaler,109,7,0,152
Retailer,126,0,0,117
Distributor,420,0,0,420
Wholesaler,152,0,0,232
Retailer,117,0,16,104
Distributor,420,0,0,420
Wholesaler,152,16,0,356
Retailer,104,0,44,80
Distributor,420,0,0,680
Wholesaler,136,44,52,332
Retailer,80,0,48,74
Distributor,420,52,0,888
Wholesaler,92,48,104,104
Retailer,74,0,12,103
Distributor,368,104,0,404
Wholesaler,44,12,28,119
Retailer,103,0,7,122
Distributor,264,28,0,236
Wholesaler,84,7,0,241
Retailer,122,0,12,111
Distributor,236,0,0,236
Wholesaler,181,12,0,317
Retailer,111,0,24,97
Distributor,236,0,0,236
Wholesaler,197,24,0,288
Retailer,97,0,23,93
Distributor,236,0,0,236
Wholesaler,173,23,0,365
Retailer,93,0,43,87
