agent_name,inventory,backlog,demand_trend,placed_order,weekly_cost
Distributor,100,0,32.0,0,100
Wholesaler,100,0,32.0,0,420
Retailer,100,0,32.0,64,68
Distributor,100,0,26.0,0,740
Wholesaler,100,64,26.0,128,396
Retailer,68,0,26.0,72,48
Distributor,100,128,26.0,200,820
Wholesaler,36,72,26.0,136,380
Retailer,48,0,26.0,40,86
Distributor,0,164,26.0,100,1580
Wholesaler,0,76,26.0,152,174
Retailer,86,0,26.0,30,96
Distributor,0,316,25.75,200,1700
Wholesaler,24,30,25.75,124,30
Retailer,96,0,25.75,0,141
Distributor,0,340,26.0,200,1260
Wholesaler,0,6,26.0,12,94
Retailer,141,0,26.0,0,144
Distributor,0,252,26.0,200,760
Wholesaler,94,0,26.0,0,204
Retailer,144,0,26.0,2,124
Distributor,0,152,24.25,200,260
Wholesaler,194,2,24.25,0,362
Retailer,124,0,24.25,14,105
Distributor,0,52,21.0,104,48
Wholesaler,292,14,21.0,0,523
Retailer,105,0,21.0,29,89
Distributor,48,0,24.0,0,148
Wholesaler,378,29,24.0,0,716
Retailer,89,0,24.0,63,70
Distributor,148,0,26.25,0,248
Wholesaler,401,63,26.25,0,693
Retailer,70,0,26.25,71,64
Distributor,248,0,29.75,0,348
Wholesaler,338,71,29.75,0,462
Retailer,64,0,29.75,39,94
Distributor,348,0,33.0,0,448
Wholesaler,267,39,33.0,0,228
Retailer,94,0,33.0,0,134
Distributor,448,0,37.5,0,548
Wholesaler,228,0,37.5,0,373
Retailer,134,0,37.5,29,122
Distributor,548,0,33.75,0,648
Wholesaler,228,29,33.75,0,289
Retailer,122,0,33.75,18,102
Distributor,648,0,32.5,0,748
Wholesaler,199,18,32.5,0,306
Retailer,102,0,32.5,25,103
Distributor,748,0,33.25,0,752
Wholesaler,181,25,33.25,0,391
Retailer,103,0,33.25,47,87
Distributor,752,0,25.0,0,942
Wholesaler,156,47,25.0,38,229
Retailer,87,0,25.0,24,94
Distributor,752,38,24.0,0,909
Wholesaler,109,24,24.0,39,85
Retailer,94,0,24.0,0,125
Distributor,714,39,22.0,0,675
Wholesaler,85,0,22.0,0,123
Retailer,125,0,22.0,0,129
Distributor,675,0,21.75,0,675
Wholesaler,123,0,21.75,0,347
Retailer,129,0,21.75,37,96
Distributor,675,0,21.75,0,735
